Barcode,Genotype,Assay Date,Experimenter,Flow Cytometer,Total Events (RBC),NCE,RETs_CD71postive,Per_RETs,Mn-RET,Mn_NCE,Per_MN-NCE
M00013161,Brd7/+,2008-02-11,RM,FC500,1.80E+05,1.77E+05,2924,1.65,11,240,0.14
M00013167,Brd7/+,2008-02-11,RM,FC500,1.88E+05,1.86E+05,2174,1.17,17,236,0.13
M00013191,Brd7/+,2008-02-11,RM,FC500,1.90E+05,1.88E+05,1666,0.89,4,250,0.13
M00013188,Brd7/+,2008-02-11,RM,FC500,1.90E+05,1.87E+05,2667,1.42,5,250,0.13
M00013198,Brd7/+,2008-02-11,RM,FC500,1.92E+05,1.89E+05,2797,1.48,10,264,0.14
M00013186,Brd7/+,2008-02-11,RM,FC500,1.88E+05,1.86E+05,1911,1.03,8,283,0.15
M00013197,Brd7/+,2008-02-11,RM,FC500,1.88E+05,1.85E+05,2198,1.19,13,290,0.16
M00013327,Mta1/Mta1,2008-02-11,RM,FC500,1.88E+05,1.85E+05,2695,1.46,15,237,0.13
M00013323,Mta1/Mta1,2008-02-11,RM,FC500,1.87E+05,1.84E+05,2620,1.43,13,242,0.13
M00013314,Mta1/Mta1,2008-02-11,RM,FC500,1.86E+05,1.83E+05,2191,1.19,22,247,0.13
M00015793,Tpm1/+,2008-03-18,RM,FC500,1.65E+05,1.65E+05,2067,1.26,9,236,0.14
M00015747,Tpm1/+,2008-03-18,RM,FC500,1.67E+05,1.67E+05,5434,3.25,18,288,0.17
M00015746,Tpm1/+,2008-03-18,RM,FC500,1.72E+05,1.72E+05,3419,1.99,10,366,0.21
M00015758,Tpm1/+,2008-03-18,RM,FC500,1.66E+05,1.66E+05,5225,3.14,13,266,0.16
M00015752,Tpm1/+,2008-03-18,RM,FC500,1.60E+05,1.60E+05,1968,1.23,18,336,0.21
M00019587,Akt2/Akt2,2008-03-28,RM,FC500,1.87E+05,1.84E+05,2411,1.31,23,280,0.15
M00019609,Akt2/Akt2,2008-03-28,RM,FC500,1.85E+05,1.82E+05,2946,1.62,13,265,0.15
M00019629,Akt2/Akt2,2008-03-28,RM,FC500,1.84E+05,1.81E+05,2469,1.36,17,290,0.16
M00019606,Akt2/Akt2,2008-03-28,RM,FC500,1.74E+05,1.71E+05,2484,1.45,28,294,0.17
M00019608,Akt2/Akt2,2008-03-28,RM,FC500,1.82E+05,1.79E+05,2661,1.49,13,323,0.18
M00038619,+/+,2008-04-25,RM,FC500,1.91E+05,1.86E+05,4268,2.29,31,389,0.21
M00038620,+/+,2008-04-25,RM,FC500,1.92E+05,1.87E+05,4201,2.24,46,333,0.18
M00038621,+/+,2008-04-25,RM,FC500,1.94E+05,1.89E+05,4260,2.26,41,409,0.22
M00038622,+/+,2008-04-25,RM,FC500,1.92E+05,1.87E+05,4480,2.39,73,393,0.21
M00038623,+/+,2008-04-25,RM,FC500,1.95E+05,1.91E+05,3855,2.02,40,396,0.21
M00038624,+/+,2008-04-25,RM,FC500,1.93E+05,1.88E+05,4352,2.32,44,255,0.14
M00038625,+/+,2008-04-25,RM,FC500,1.94E+05,1.90E+05,3810,2.01,30,390,0.21
M00038626,+/+,2008-04-25,RM,FC500,1.91E+05,1.87E+05,4068,2.18,31,285,0.15
M00038627,+/+,2008-04-25,RM,FC500,1.93E+05,1.89E+05,3635,1.92,34,357,0.19
M00038628,+/+,2008-04-25,RM,FC500,1.93E+05,1.90E+05,2810,1.48,23,358,0.19
M00254659,+/+,2008-04-25,RM,FC500,1.50E+05,1.46E+05,2907,1.99,25,388,0.26
M00254658,+/+,2008-04-25,RM,FC500,1.56E+05,1.53E+05,2953,1.93,31,380,0.25
M00254653,+/+,2008-04-25,RM,FC500,1.53E+05,1.50E+05,2659,1.77,45,334,0.22
M00254652,+/+,2008-04-25,RM,FC500,1.57E+05,1.53E+05,3321,2.17,52,434,0.28
M00326366,+/+,2008-04-25,RM,FC500,1.73E+05,1.69E+05,3101,1.83,16,266,0.16
M00326367,+/+,2008-04-25,RM,FC500,1.63E+05,1.60E+05,3444,2.16,28,320,0.2
M00326369,+/+,2008-04-25,RM,FC500,1.58E+05,1.54E+05,3927,2.55,21,290,0.19
M00326371,+/+,2008-04-25,RM,FC500,1.59E+05,1.56E+05,2831,1.82,19,265,0.17
M00030020,+/+,2008-04-25,RM,FC500,1.40E+05,1.38E+05,1631,1.18,31,220,0.16
M00050390,+/+,2008-07-21,RM,FC500,1.82E+05,1.77E+05,3907,2.2,54,408,0.23
M00050419,+/+,2008-07-21,RM,FC500,1.73E+05,1.70E+05,2938,1.73,38,310,0.18
M00050422,+/+,2008-07-21,RM,FC500,1.78E+05,1.74E+05,3935,2.27,34,308,0.18
M00050230,+/+,2008-07-21,RM,FC500,1.68E+05,1.65E+05,2930,1.78,44,315,0.19
M00048219,Cadm1/Cadm1,2008-07-21,RM,FC500,1.80E+05,1.77E+05,2380,1.34,37,294,0.17
